;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
14;162.2630413532257;0.3252364411458497;0.1397878646850586;0.0034727375346609024;10;sqrt;10;2;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2};-0.24426174046442717;-0.19689128990670302;-0.28851176890691255;-0.32176604314699464;-0.3035830362338956;-0.2710027757317866;0.04506116472846999;1;-3.199843746185117;-3.13878957561669;-3.252383741196601;-3.2940856090879;-3.274904578762563;-3.2320014501697742;0.05627278294591003;1
10;868.6733423709869;2.3960633475951822;0.1354524612426758;0.0014390284467474938;10;0.1;10;2;{'max_depth': 10, 'max_features': 0.1, 'min_samples_leaf': 10, 'min_samples_split': 2};-0.27974610692752044;-0.19519046996570677;-0.2959422111363814;-0.3176244851830283;-0.27587050175731487;-0.2728747549939904;0.04153476616352338;2;-3.2451502276474042;-3.136558623714851;-3.26174799762336;-3.288920795641026;-3.239907406084316;-3.2344570101421914;0.05184447455645971;2
11;865.9947744369507;1.9073658389824517;0.13400144577026368;0.0014148538357126685;10;0.1;10;20;{'max_depth': 10, 'max_features': 0.1, 'min_samples_leaf': 10, 'min_samples_split': 20};-0.2846069790457524;-0.20405903108661527;-0.3198170746933633;-0.34576271723232854;-0.24013591782698707;-0.27887634397700933;0.051538764951353754;3;-3.2513074293274697;-3.148174073967321;-3.291656118126558;-3.3238531856867564;-3.194213518223226;-3.2418408650662665;0.06377935078379386;3
3;205.23179006576538;1.5235609421448264;0.04020791053771973;0.005035104021287744;3;0.1;10;20;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 10, 'min_samples_split': 20};-0.338684181361083;-0.21717964206001383;-0.2807158950923878;-0.32468949582744133;-0.3328756713604568;-0.29882897714027656;0.04563130236558324;4;-3.3190360046254392;-3.1652803983217663;-3.242529876500755;-3.29772648956823;-3.3114951306018856;-3.2672135799236157;0.057579711380957965;4
15;162.31088333129884;0.14954280166354042;0.14218454360961913;0.0029302436850460693;10;sqrt;10;20;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20};-0.23539064884865368;-0.20357308253204476;-0.3672013702222714;-0.44710907682114964;-0.24925188311533608;-0.3005052123078911;0.09187352010394595;5;-3.18841653489628;-3.147538720969132;-3.3502238731165415;-3.4467375879228173;-3.2059320017742112;-3.2677697437357964;0.11260951081009112;5
13;180.66278305053712;0.41659134433705536;0.14079389572143555;0.0017124246079625997;10;sqrt;1;20;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20};-0.34512483691774043;-0.29128679663198787;-0.2725545896928072;-0.37694621249042726;-0.31245590911455534;-0.3196736689695036;0.037432671295538525;6;-3.327010670256409;-3.2602147168553177;-3.232181925572878;-3.362142174269256;-3.286031040632453;-3.293516105517263;0.046386018350386665;6
7;38.690618658065794;0.34558406292345384;0.03980021476745606;0.0033102772455027092;3;sqrt;10;20;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20};-0.2716041461294818;-0.27525049433116733;-0.34223021191012193;-0.35830920165257907;-0.36423459195237706;-0.32232572919514546;0.04058597843106872;7;-3.234810659064917;-3.239907406084316;-3.319487912314187;-3.339311306242651;-3.3502238731165415;-3.2967482313645227;0.04950857496326839;7
6;38.2503529548645;0.07917061303480398;0.03839950561523438;0.0004894563618096017;3;sqrt;10;2;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2};-0.2966376375383766;-0.32335940123362916;-0.2980129901183646;-0.34186478032506606;-0.3536600722178924;-0.3227069762866658;0.02286895116644482;8;-3.266496594212215;-3.3004545141540733;-3.2643529220965064;-3.3190360046254392;-3.337214407256447;-3.297510888468936;0.028669503462854226;8
9;874.5044913768768;64.86342803579933;0.12939300537109374;0.008488986911294653;10;0.1;1;20;{'max_depth': 10, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 20};-0.4049135639719934;-0.29286612943434154;-0.2098221675915537;-0.3425956434951778;-0.3769969433560656;-0.3254388895698264;0.06884333241593596;9;-3.400147055643329;-3.2622078413246447;-3.1515075757484703;-3.3199397584896024;-3.3658579886857973;-3.2999320439783686;0.08745573237212695;9
12;195.7490671157837;0.19659588632978206;0.16220712661743164;0.0030538971822920164;10;sqrt;1;2;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2};-0.4345648838932086;-0.27148439303324734;-0.2449035997569149;-0.3841330336631923;-0.32655526876053487;-0.33232823582141957;0.07002062072462761;10;-3.435840508521896;-3.235119781399137;-3.1968734726291563;-3.3709049230139967;-3.303634362334912;-3.3084746095798194;0.08715364459195357;10
4;38.370216035842894;0.09015470047783115;0.039200210571289064;0.0007394975779707553;3;sqrt;1;2;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2};-0.30453655473050345;-0.3459560090211491;-0.34832073832771937;-0.37353551769657267;-0.33299721756430145;-0.3410692074680492;0.02249585991302031;11;-3.2764309850811753;-3.3285131815872386;-3.327010670256409;-3.3579755806140104;-3.311646116359657;-3.3203153067796984;0.026575619737643528;11
2;204.52360196113585;0.33211648676389893;0.0376065731048584;0.0004947904764309;3;0.1;10;2;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 10, 'min_samples_split': 2};-0.2863082842871336;-0.2929876165729841;-0.37511905456514816;-0.4210416237538326;-0.3458811151718346;-0.34426753887018663;0.05067067274372672;12;-3.2534596969994882;-3.2623611081546446;-3.3599107130993824;-3.4155526639183886;-3.3276117561999325;-3.3237791876743676;0.06076110254697325;12
5;38.443533182144165;0.07971497890245391;0.03918914794921875;0.0013135927430035165;3;sqrt;1;20;{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20};-0.39737921218873407;-0.23115066300391063;-0.3278565695645921;-0.4491798558031328;-0.34964904749101877;-0.35104306961027765;0.07306382573779886;13;-3.39101754640108;-3.1833944147717546;-3.301666246003675;-3.4492028064467304;-3.3322664959453645;-3.331509501913721;0.08969079472605641;13
0;207.07145104408264;2.2485320186376425;0.038599586486816405;0.0010218363365720505;3;0.1;1;2;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2};-0.3531452759128231;-0.2251977932104241;-0.4288374975683573;-0.4491798558031328;-0.3142791021722251;-0.35412790493339247;0.081028714596757;14;-3.336914742692717;-3.1756889016400836;-3.424908757908742;-3.4492028064467304;-3.2883126372046805;-3.3350055691785903;0.09868056317120147;14
1;207.3240195274353;0.9960292775161426;0.037394142150878905;0.0010085541984021652;3;0.1;1;20;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 20};-0.35557571197193916;-0.30671566323959576;-0.38462027577659996;-0.3969231391401469;-0.36933953251385243;-0.36263486452842686;0.031243512491368145;15;-3.339910178432947;-3.2796341259353916;-3.371498183300712;-3.386443562205046;-3.3564862579787214;-3.346794461570563;0.03697069110257181;15
8;860.6095277309417;2.8285229473741165;0.13679580688476561;0.0019360957978118679;10;0.1;1;2;{'max_depth': 10, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2};-0.40783008724293257;-0.3296767324430434;-0.29557677955132555;-0.44114036093190423;-0.3863560010521039;-0.37211599224426195;0.052729459995867464;16;-3.403674485023502;-3.3083228379346536;-3.2612880890838207;-3.4396220722631723;-3.3772770096632585;-3.3580368987936815;0.06471619843682845;16
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;;;;;;;;;;;;;;;;;
;;;;;10;sqrt;10;2;;;;;;;;;;;;;;;;;
